,index,Count
82,CONDITIONS  REMAIN,109
83,MONITORING,109
84,CENTER,108
85,STAR,107
86,ENERGY  STAR,106
87,ADDITIONAL,105
88,MODIFICATION  INCREMENTAL,100
89,OVERSIGHT,100
90,CONTRACT  TASK,98
91,CONTRACT  TASK  ORDER,95
92,ORDER  SUPPORT,94
93,MODIFICATION  OBLIGATE,91
94,MODIFICATION  INCREMENTAL  FUNDING,89
95,EMERGENCY  RESPONSE,85
96,MODIFICATION  EXERCISE,84
97,EXERCISE  OPTION  PERIOD,82
98,SERVICES  EPA,79
99,STUDENT  SERVICES  CONTRACT,78
100,MODIFICATION  EXERCISE  OPTION,74
101,MODIFICATION  FUNDING,71
102,PERIOD  PERFORMANCE,67
103,ORDER  CONTRACT,67
104,MANAGEMENT  SUPPORT,66
105,TASK  ORDER  CONTRACT,64
106,ORDER  PROVIDE,64
107,OBLIGATE  FUNDING,63
108,PROVIDE  INCREMENTAL,58
109,FUNDING  OPTION,58
110,OBLIGATE  FUNDS,57
111,TASK  ORDER  SUPPORT,57
112,OPERATIONS  MAINTENANCE,57
113,PROVIDE  INCREMENTAL  FUNDING,56
114,FUNDING  OPTION  PERIOD,56
115,SUPPORT  EPA,54
116,SUPPORT  OFFICE,54
117,FUNDING  TASK,53
118,EPA  OFFICE,53
119,PURPOSE  MODIFICATION  EXERCISE,52
120,TECHNICAL  ASSISTANCE,52
121,COUNTY,52
122,SUPPORT  ENVIRONMENTAL,51
123,ORDER  TASK,50
124,REGION  TASK  ORDER,49
125,REGION  TASK,49
126,TASK  ORDER  TASK,49
127,FUNDING  CEILING,48
128,SERVICE  CONTRACT,48
129,ORDER  TASK  ORDER,48
130,FUNDING  TASK  ORDER,47
131,PROGRAM  SUPPORT,47
132,ACTION  CONTRACT,46
133,SERVICES  SUPPORT,45
134,SERVICES  ASSISTANCE,44
135,1,44
136,ENVIRONMENTAL  SERVICES  ASSISTANCE,44
137,MODIFICATION  FUNDS,44
138,SUPPORT  ENERGY,44
139,PURPOSE  MODIFICATION  INCREMENTAL,43
140,FUNDING  WORK,43
141,INCREMENTAL  FUNDING  OPTION,43
142,PURPOSE  MODIFICATION  OBLIGATE,42
143,RESEARCH  SUPPORT,42
144,MODIFICATION  FUNDING  AMOUNT,41
145,DATA  SUPPORT,41
146,SUPPORT  WATER,41
147,PERIOD  AMOUNT,41
148,ORDER  SUPERFUND,41
149,SUPPORT  SERVICES  EPA,40
150,SUPPORT  TASK,40
151,PROVIDE  SUPPORT,39
152,PURPOSE  ORDER,39
153,SUPPORT  MODIFICATION,39
154,SERVICES  REMEDIAL,39
155,PROVIDE  TECHNICAL,39
156,MODIFICATION  OBLIGATE  FUNDING,39
157,RESEARCH  DEVELOPMENT,39
158,OFFICE  RESEARCH  DEVELOPMENT,38
159,MANAGEMENT  SYSTEM,38
160,OFFICE  RESEARCH,38
161,MAINTENANCE  SUPPORT,38
162,TASK  ORDER  SUPERFUND,37
163,RESPONSE  SERVICES,37
164,PURPOSE  ACTION,37
165,WORK  REGION,36
166,INCREMENTAL  FUNDING  WORK,36
167,ORDER  TECHNICAL,36
168,EMERGENCY  RESPONSE  SERVICES,36
169,TECHNICAL  SUPPORT  SERVICES,35
170,REMOVAL  ACTION,35
171,FUNDING  MODIFICATION,34
172,REMEDIAL  ACTION  CONTRACT,34
173,INFORMATION  SUPPORT,34
174,MODIFICATION  PROVIDE,33
175,ASSESSMENT  SUPPORT,33
176,ADDITIONAL  FUNDING,33
177,MANAGEMENT  ANALYTICAL,33
178,PURPOSE  MODIFICATION  FUNDING,33
179,ENVIRONMENTAL  SERVICES  REMEDIAL,32
180,INFORMATION  SERVICES,32
181,EPA  REGION,32
182,SUPPORT  CONTRACT,32
183,REGION  SUPPORT,32
184,FUNDING  REMOVAL,32
185,SUPPORT  DEVELOPMENT,32
186,PURPOSE  ORDER  PROVIDE,32
187,MANAGEMENT  SERVICES,32
188,PURPOSE  TASK,31
189,MANAGEMENT  ANALYTICAL  SUPPORT,31
190,CINCINNATI,31
191,SERVICES  MODIFICATION,31
192,STUDENT  SERVICE,31
193,REGION  REMEDIAL,31
194,ACTION  SITE,31
195,FUNDS  AMOUNT,31
196,TASK  ORDER  TECHNICAL,31
197,PROVIDE  SERVICES,31
198,ORDER  ENERGY,30
199,ASSESSMENT  ACTIVITIES,30
200,RTP,30
201,ASSISTANCE  REGION,30
202,SERVICES  ASSISTANCE  REGION,30
203,TASK  ORDER  ENERGY,30
204,OPTION  PERIOD  AMOUNT,30
205,PROGRAM  OFFICE,30
206,SUPPORT  ASSESSMENT,30
207,ORDER  INCREMENTAL,30
208,NATIONAL  PROGRAM,30
209,PERIOD  OPTION,30
210,CONTRACTOR  FUNDING,30
211,PROVIDE  TECHNICAL  SUPPORT,30
212,PURPOSE  TASK  ORDER,30
213,WORK  REGION  REMEDIAL,29
214,ORDER  ALL,29
215,NATIONAL  STUDENT,29
216,ORDER  CEILING,29
217,MODIFICATION  TASK,29
218,SERVICES  TASK,29
219,TASK  ORDER  INCREMENTAL,29
220,SUPPORT  PROGRAM,29
221,MODIFICATION  TASK  ORDER,29
222,ASSISTANCE  REGION  TASK,29
223,NATIONAL  STUDENT  SERVICES,29
224,TASK  ORDER  PROVIDE,28
225,ASSOCIATED  TECHNICAL,28
226,TASK  ORDER  CEILING,28
227,TECHNICAL  SUPPORT  ASSESSMENT,28
228,PROGRAM  MANAGEMENT,28
229,MODIFICATION  PROVIDE  INCREMENTAL,28
230,FUNDING  WORK  REGION,28
231,CONTRACTOR  FUNDING  CEILING,28
232,OPTION  PERIOD  OPTION,27
233,ANALYTICAL  SERVICES,27
234,TECHNICAL  ANALYTICAL  SUPPORT,27
235,ASSOCIATED  FUNCTIONS,27
236,MODIFICATION  OPTION,27
237,CLOSELY  ASSOCIATED  FUNCTIONS,27
238,TECHNICAL  ANALYTICAL,27
239,CLOSELY  ASSOCIATED  TECHNICAL,27
240,SUPPORT  REGION,27
241,REMEDIAL  OVERSIGHT,26
242,SUPPORT  MONITORING,26
243,WORK  TASK,26
244,OFFICE  WATER,26
245,SUPPORT  PURPOSE,26
246,CEILING  AMOUNT,26
247,MODIFICATION  OPTION  PERIOD,26
248,SUPPORT  TASK  ORDER,26
249,SERVICES  TASK  ORDER,26
250,SUPPORT  ENERGY  STAR,25
251,SERVICES  REGION,25
252,SYSTEM  SUPPORT,25
253,MONITORING  DATA,25
254,RESPONSE  ACTION,25
255,INFORMATION  SYSTEM,25
256,ECONOMIC,25
257,ORDER  INCREMENTAL  FUNDING,25
258,REMOVAL  RESPONSE,25
259,ICF,25
260,SUPERFUND  MANAGEMENT,24
261,MODIFICATION  OBLIGATE  FUNDS,24
262,PERIOD  OPTION  PERIOD,24
263,OFFICE  SERVICES,24
264,CONTRACTOR  PROVIDE,24
265,MODELING,24
266,FUNDING  CONTRACT,24
267,ORDER  FUNDING,23
268,OFFICE  ENVIRONMENTAL,23
269,ORDER  AMOUNT,23
270,PROGRAM  OFFICE  SERVICES,23
271,CONTRACT  REGION,23
272,NATIONAL  PROGRAM  OFFICE,23
273,WATER  QUALITY,23
274,MANAGEMENT  SYSTEM  SUPPORT,23
275,ANALYTICAL  SUPPORT  SERVICES,22
276,MAINTENANCE  SERVICES,22
277,ORDER  ALL  TERMS,22
278,ENVIRONMENTAL  INFORMATION,22
279,ORDER  AWARD,22
280,FUNDS  WORK,22
281,REGION  REMEDIAL  ACTION,22
282,IGF::CLCT::IGF  ENERGY,22
283,PURPOSE  MODIFICATION  FUNDS,22
284,INFORMATION  SUPPORT  SERVICES,22
285,IGF::CLCT::IGF  ENERGY  STAR,22
286,ORDER  ENERGY  STAR,22
287,SUPPORT  SERVICES  MODIFICATION,22
288,ORDER  CONTRACTOR,21
289,FUNCTIONS  SUPPORT,21
290,PERIOD  TASK,21
291,ORDER  MODIFICATION,21
292,REGION  1,21
293,TOWNSHIP,21
294,ANALYSIS  SUPPORT,21
295,FUNDING  REMOVAL  ACTION,21
296,DEVELOPMENT  SUPPORT,21
297,MAINTENANCE  SUPPORT  SERVICES,21
298,TASK  ORDER  CONTRACTOR,21
299,SUPPORT  ANALYSIS,21
300,ASSOCIATED  STUDENT,21
301,WORK  TASK  ORDER,21
302,ASSOCIATED  STUDENT  SERVICES,21
303,CLOSELY  ASSOCIATED  STUDENT,21
304,SUPPORT  MONITORING  DATA,20
305,OFFICE  SUPPORT,20
306,DATA  ANALYSIS,20
307,FUNCTIONS  STUDENT,20
308,TOWNSHIP  COUNTY,20
309,ORDER  PROVIDE  TECHNICAL,20
310,PERIOD  FUNDS,20
311,DATA  SUPPORT  MONITORING,20
312,MONITORING  DATA  COLLECTION,20
313,DATA  COLLECTION,20
314,COLLECTION  ANALYSIS,20
315,COLLECTION,20
316,SUPPORT  WATER  CLOSELY,20
317,WATER  CLOSELY,20
318,WATER  CLOSELY  ASSOCIATED,20
319,DATA  COLLECTION  ANALYSIS,20
320,MONITORING  PROGRAM,20
321,OPERATIONS  SUPPORT,20
322,FACILITIES,20
323,SUPPORT  OFFICE  ENVIRONMENTAL,20
324,OFFICE  ENVIRONMENTAL  INFORMATION,20
325,TASK  ORDER  MODIFICATION,20
326,OPTION  PERIOD  FUNDS,20
327,FUNDS  OPTION,20
328,ANALYTICAL  SUPPORT  WATER,20
329,OPERATIONS  SUPPORT  SERVICES,19
330,SUPPORT  PURPOSE  MODIFICATION,19
331,DATA  MANAGEMENT,19
332,FUNCTIONS  SUPPORT  SERVICES,19
333,OPERATIONS  MAINTENANCE  SUPPORT,19
334,CONTRACT  PROVIDE,19
335,DATA  SUPPORT  SERVICES,19
336,TASK  ORDER  AMOUNT,19
337,ENGINEERING,19
338,$50000.00.,19
339,EPA  RTP,19
340,STUDENT  SERVICE  CONTRACT,19
341,REGION  INCREMENTAL,19
342,ORDER  ANALYTICAL  SUPPORT,19
343,ORDER  ANALYTICAL,19
344,ORDER  SITE,19
345,TASK  ORDER  SITE,19
346,ACTION  SUPPORT,19
347,INCREMENTAL  FUNDING  CONTRACT,18
348,MODIFICATION  PERIOD,18
349,SUPPORT  CENTER,18
350,REGION  MODIFICATION,18
351,EPA  OFFICE  RESEARCH,18
352,AWARD  TASK,18
353,ADDITIONAL  FUNDING  TASK,18
354,SERVICES  SITE,18
355,AWARD  TASK  ORDER,18
356,TASK  ORDER  ANALYTICAL,18
357,OBLIGATE  INCREMENTAL  FUNDING,18
358,OBLIGATE  INCREMENTAL,18
359,RESPONSE  ACTION  SITE,18
360,MODIFICATION  WORK,18
361,CONTRACTOR  CONTRACT,18
362,STAR  PROGRAM,18
363,START  REMOVAL,18
364,31,18
365,FUNDS  OPTION  PERIOD,18
366,ENERGY  STAR  PROGRAM,18
367,TASK  ORDER  FUNDING,18
368,ASSOCIATED  TECHNICAL  SUPPORT,18
369,SERVICES  MONITORING,17
370,MANAGEMENT  OFFICE,17
371,ORDER  REMEDIAL,17
372,INFORMATION  (OIC)  INFORMATION,17
373,SUPPORT  ACTIVITIES,17
374,SUPERFUND  TASK,17
375,PURPOSE  MODIFICATION  OPTION,17
376,INFORMATION  (OIC),17
377,TASK  ORDER  REMEDIAL,17
378,ARBOR,17
379,ENVIRONMENTAL  INFORMATION  (OIC),17
380,PERFORMANCE  WORK,17
381,(OIC)  INFORMATION  SERVICES,17
382,(OIC)  INFORMATION,17
383,(OIC),17
384,SUPPORT  DATA,17
385,SERVICES  SUPPORT  OFFICE,17
386,MODELING  ANALYSIS,17
387,CONTRACTOR  CEILING,17
388,METALS,17
389,ATHENS,17
390,SUPERFUND  TASK  ORDER,17
391,TASK  ORDER  AWARD,17
392,WATER  SUPPORT,17
393,PURPOSE  MODIFICATION  PROVIDE,17
394,START  CONTRACT,16
395,ACTION  AWARD,16
396,ORDER  TECHNICAL  SUPPORT,16
397,ENGINEERING  ENVIRONMENTAL,16
398,PURPOSE  ACTION  AWARD,16
399,ANALYSIS  ASSESSMENT  SUPPORT,16
400,SUPPORT  METALS,16
401,ASSESSMENT  SUPPORT  ENVIRONMENTAL,16
402,ECONOMIC  ENGINEERING  ENVIRONMENTAL,16
403,SERVICES  REMEDIAL  ACTION,16
404,INCREMENTAL  FUNDING  TASK,16
405,ECONOMIC  ENGINEERING,16
406,ANALYSIS  ASSESSMENT,16
407,ENVIRONMENTAL  MODELING,16
408,PERIOD  CEILING,16
409,ENGINEERING  ENVIRONMENTAL  MODELING,16
410,ENVIRONMENTAL  MODELING  ANALYSIS,16
411,ORDER  SUPERFUND  ANALYTICAL,16
412,ORDER  DATA,16
413,EPA  NATIONAL,16
414,QUALITY  SUPPORT,16
415,SUPERFUND  ANALYTICAL,16
416,ORDER  REMOVAL,16
417,ITEMS,16
418,WATER  PROGRAM,16
419,MODELING  ANALYSIS  ASSESSMENT,16
420,EMERGENCY  RESPONSE  ACTION,15
421,CONTRACTOR  CONTRACT  ITEMS,15
422,PROGRAM  DATA,15
423,PARK,15
424,SERVICES  SUPERFUND,15
425,FUNCTIONS  SERVICES,15
426,PROGRAM  MANAGEMENT  SUPPORT,15
427,TECHNICAL  SUPPORT  ASSESSING,15
428,SUPPORT  ASSESSING  MANAGING,15
429,SUPPORT  ASSESSING,15
430,MANAGING  WATER,15
431,MANAGING,15
432,ASSESSING  MANAGING  WATER,15
433,ASSESSING  MANAGING,15
434,ASSESSING,15
435,CENTER  ENVIRONMENTAL,15
436,ORDER  OPTION,15
437,TASK  ORDER  REMOVAL,15
438,OPTION  PERIOD  TASK,15
439,INFORMATION  MANAGEMENT,15
440,FUNDING  PERIOD,15
441,OPTION  OPTION,15
442,ANALYTICAL  SERVICES  MONITORING,15
443,SERVICES  MONITORING  PROGRAM,15
444,7,15
445,CONTRACT  ITEMS,15
446,REGION  SUPPORT  SERVICES,15
447,ANALYTICAL  SUPPORT  MODIFICATION,15
448,CONTRACTOR  ALL,15
449,ORDER  EPA,15
450,SUPPORT  EPA  OFFICE,15
451,FUNCTIONS  STUDENT  SERVICE,15
452,RESEARCH  DEVELOPMENT  RESEARCH,14
453,SERVICES  INFORMATION,14
454,PERIOD  TASK  ORDER,14
455,EDISON,14
456,STAR  DEVELOPMENT,14
457,ASSOCIATED  PURPOSE,14
458,ASSOCIATED  PURPOSE  MODIFICATION,14
459,ENERGY  STAR  DEVELOPMENT,14
460,REMOVAL  SUPPORT,14
461,ORDER  PURPOSE,14
462,ORDER  SUPPORT  EPA,14
463,RESEARCH  SUPPORT  ENVIRONMENTAL,14
464,SITE  TASK  ORDER,14
465,SITE  TASK,14
466,SERVICES  EPA  OFFICE,14
467,FUNDING  EMERGENCY  RESPONSE,14
468,PROGRAM  SUPPORT  SERVICES,14
469,SERVICES-SULTRAC,14
470,WORK  SERVICES,14
471,CONTRACTOR  SUPPORT,14
472,DEVELOPMENT  RESEARCH,14
473,FUNDING  EMERGENCY,14
474,ADDITIONAL  INCREMENTAL,14
475,RESEARCH  PARK,14
476,ADDITIONAL  INCREMENTAL  FUNDING,14
477,FUNDS  TASK,14
478,SERVICES  REGION  INCREMENTAL,14
479,RESPONSE  SERVICES  REGION,14
480,ORDER  PROVIDE  SUPPORT,14
481,PERIOD  INCREMENTAL,13
482,OPTION  PERIOD  INCREMENTAL,13
483,PROVIDE  ACTIVITIES  ASSOCIATED,13
484,CONTRACT  ES-S2-15-01  ENVIRONMENTAL,13
485,SERVICES  WORK,13
486,SERVICES  SUPERFUND  SITE,13
487,CONTRACT  ES-S2-15-01,13
488,CONTRACT#EP-W-10-031,13
489,ICF  CONTRACT#EP-W-10-031,13
490,ORDER  PERIOD,13
491,SUPPORT  TECHNICAL,13
492,SERVICES  ENVIRONMENTAL,13
493,WATER  DEVELOPMENT,13
494,TECHNICAL  SUPPORT  ENVIRONMENTAL,13
495,OFFICE  QUALITY,13
496,PROVIDE  ACTIVITIES,13
497,TASK  TASK,13
498,WATER  WATER,13
499,SUPPORT  SERVICES  INFORMATION,13
500,ES-S2-15-01  ENVIRONMENTAL  SERVICES,13
501,SERVICES  INFORMATION  SYSTEM,13
502,CONTRACT  ASSESSMENT,13
503,SERVICES  FUNCTIONS,13
504,6,13
505,30,13
506,SUPPORT  SITE,13
507,ASSISTANCE  TASK  ORDER,13
508,ENERGY  STAR  SITE,13
509,ASSISTANCE  TASK,13
510,PERIOD  CONTRACT,13
511,CONTRACT  SUPPORT,13
512,SITE  INFORMATION,13
513,STAR  SITE,13
514,ES-S2-15-01,13
515,STAR  SITE  INFORMATION,13
516,ES-S2-15-01  ENVIRONMENTAL,13
517,AWARD  ORDER,13
518,ORDER  PROVIDE  ACTIVITIES,13
519,ACTIVITIES  ASSOCIATED,13
520,MODIFICATION  PERIOD  PERFORMANCE,13
521,PERIOD  PERIOD,13
522,REMOVAL  ACTION  SITE,13
523,SITE  TECHNICAL,13
524,MODIFICATION  OBLIGATE  INCREMENTAL,12
525,SUPPORT  NATIONAL,12
526,SUPPORT  MAINTENANCE,12
527,ENVIRONMENTAL  CENTER,12
528,CEILING  OPTION,12
529,CONTRACTOR  AMOUNT,12
530,ORDER  CONTRACT  ES-S2-15-01,12
531,SERVICES  ASSISTANCE  TASK,12
532,FUNCTIONS  MAINTENANCE,12
533,TASK  ORDER  DATA,12
534,TASK  ORDER  PURPOSE,12
535,CEILING  OPTION  PERIOD,12
536,TECHNICAL  SUPPORT  CENTER,12
537,INFORMATION  PROGRAM,12
538,WATER  ACTIVITIES,12
539,ENERGY  STAR  SUPPORT,12
540,CLOSELY  ASSOCIATED  PURPOSE,12
541,ACTIVITIES  SITE,12
542,BUSINESS,12
543,SITE  REMEDIAL,12
544,VERIFICATION,12
545,CONTRACT  PURPOSE,12
546,OPTION  OPTION  PERIOD,12
547,ADA,12
548,ORDER  WORK,12
549,SITE  FUNDING,12
550,ALL  WORK,12
551,ALL  WORK  SERVICES,12
552,PERIOD  INCREMENTAL  FUNDING,12
553,SYSTEM  MANAGEMENT,12
554,SERVICES  SERVICES,12
555,SERVICES  OFFICE,12
556,STAR  SUPPORT,12
557,TECHNICAL  SUPPORT  PROGRAM,12
558,SERVICE  CONTRACT  ASSESSMENT,12
559,SITE  TECHNICAL  SUPPORT,12
560,ACTIVITIES  PROGRAM,12
561,ITEMS  CONTRACTOR,12
562,ASSESSMENT  ACTIVITIES  PROGRAM,12
563,CONTRACT  ASSESSMENT  ACTIVITIES,12
564,OBLIGATE  FUNDING  AMOUNT,12
565,PROGRAM  PURPOSE,12
566,TECHNICAL  SUPPORT  TASK,12
567,-TREATMENT  MONITORING  TECHNOLGIES,11
568,CONTRACT  REMEDIAL,11
569,TECHNOLGIES  FACILITIES,11
570,CONTRACT  OPTION,11
571,SERVICES  AWARD,11
572,-TREATMENT  MONITORING,11
573,SUPPORT  REGION  MODIFICATION,11
574,MODIFICATION  AMOUNT,11
575,ORDER  SUPERFUND  SITE,11
576,TECHNICAL  SUPPORT  ANALYSIS,11
577,MODIFICATION  CONTRACT,11
578,MANAGEMENT  SUPPORT  SERVICES,11
579,ENVIRONMENTAL  DEVELOPMENT,11
580,FUNDS  WORK  TASK,11
581,TECHNOLGIES,11
582,-TREATMENT,11
583,MONITORING  TECHNOLGIES  FACILITIES,11
584,CONTRACT  ITEMS  CONTRACTOR,11
585,FUNCTIONS  CLOSELY,11
586,ASSOCIATED  FUNCTIONS  CLOSELY,11
587,START  REMOVAL  RESPONSE,11
588,METALS  ENERGY,11
589,SUPPORT  METALS  ENERGY,11
590,FUNDING  ACTION,11
591,SERVICES  CONTRACT  TASK,11
592,CENTER  SUPPORT,11
593,FUNCTIONS  CLOSELY  ASSOCIATED,11
594,PROGRAM  SERVICES,11
595,INFORMATION  MANAGEMENT  SUPPORT,11
596,PERIOD  FUNDING,11
597,TECHNICAL  SUPPORT  DEVELOPMENT,11
598,MONITORING  TECHNOLGIES,11
599,SITE  ASSESSMENT,11
600,"""IGF::CLCT::IGF""",11
601,ORDER  FUNDS,11
602,FUNCTIONS  -TREATMENT  MONITORING,11
603,PURPOSE  MODIFICATION  WORK,11
604,BRANCH,11
605,TASK  MANAGEMENT,11
606,WASHINGTON,11
607,ENVIRONMENTAL  RESPONSE,11
608,9,11
609,ANALYSIS  MONITORING,11
610,ORDER  SUPPORT  OPERATIONS,11
611,MAINTENANCE  TASK,11
612,SITE  SUPPORT,11
613,MAINTENANCE  TASK  ORDER,11
614,NEWPORT,11
615,SERVICES  RESEARCH,11
616,SUPPORT  OPERATIONS,11
617,DEVELOPMENT  SUPPORT  SERVICES,11
618,ORDER  SERVICE,11
619,ORDER  ASSESSMENT,11
620,TASK  ORDER  ASSESSMENT,11
621,MAINTENANCE  PROGRAM,11
622,TASK  ORDER  SERVICE,11
623,FUNCTIONS  INFORMATION  SUPPORT,11
624,FUNCTIONS  INFORMATION,11
625,LABORATORY,11
626,ASSISTANCE  TECHNICAL,11
627,SUPPORT  SUPPORT,11
628,ACTION  TASK,11
629,ANALYTICAL  SUPPORT  OFFICE,11
630,MANAGEMENT  RESEARCH,11
631,FUNCTIONS  -TREATMENT,11
632,ORDER  PERIOD  PERFORMANCE,11
633,SITE  COUNTY,11
634,SITE  SITE,11
635,TASK  ORDER  PERIOD,11
636,ORDER  REMEDIAL  ACTION,11
637,MANAGEMENT  TASK,11
638,DEVELOPMENT  WATER,10
639,PROGRAM  MAINTENANCE,10
640,TASK  ORDER  WORK,10
641,MAINTENANCE  PROGRAM  MAINTENANCE,10
642,OFFICE  WATER  WATER,10
643,DEVELOPMENT  PROGRAM,10
644,TASK  TASK  ORDER,10
645,CONTRACT  MODIFICATION,10
646,EMERGENCY  TASK  ORDER,10
647,PURPOSE  ACTION  CONTRACT,10
648,ACTION  CONTRACT  TASK,10
649,INFORMATION  SERVICE,10
650,RESEARCH  DEVELOPMENT  (ORD),10
651,DEVELOPMENT  (ORD),10
652,ORDER  SERVICES,10
653,(ORD),10
654,FUNDING  ALL,10
655,ORDER  INFORMATION,10
656,SERVICES  EPA  RTP,10
657,EMERGENCY  TASK,10
658,PROGRAM  MAINTENANCE  TASK,10
659,MODIFICATION  MODIFICATION,10
660,OPTION  PERIOD  FUNDING,10
661,TASK  ORDER  EPA,10
662,(R8,10
663,$50000.00,10
664,II,10
665,FUNDING  SUPERFUND,10
666,ACTION  CONTRACT  REGION,10
667,EPA  SUPPORT,10
668,PROGRAM  TASK  ORDER,10
669,PROGRAM  TASK,10
670,ORDER  REMOVAL  SUPPORT,10
671,ANALYSIS  DEVELOPMENT,10
672,SUPPORT  CONTRACT  PROVIDE,10
673,REMOVAL  SITE,10
674,MODIFICATION  FUNDS  AMOUNT,10
675,REMOVAL  SUPPORT  CONTRACT,10
676,DESIGN,10
677,ANALYSIS  MONITORING  BRANCH,10
678,TASK  PROGRAM,10
679,3,10
680,SYSTEMS,10
681,ANALYTICAL  SUPPORT  ENERGY,10
682,OPTIONS  MAKING  DATA,10
683,ENHANCEMENTS,10
684,ENHANCEMENTS  DATA,10
685,SUPPORT  MAINTENANCE  OPERATIONS,10
686,ENHANCEMENTS  DATA  SUPPORT,10
687,ANALYSIS  VERIFICATION,10
688,ANALYSIS  VERIFICATION  QUALITY,10
689,ASSURANCE,10
690,TASK  MANAGEMENT  TASK,10
691,OPTION  PERIOD  PERIOD,10
692,CEILING  CONTRACT,10
693,PERIOD  ALL,10
694,FUNDING  CEILING  CONTRACT,10
695,TASK  SYSTEM,10
696,TECHNICAL  SUPPORT  MAINTENANCE,10
697,VERIFICATION  QUALITY  ASSURANCE,10
698,OPERATIONS  MANAGEMENT,10
699,ORDER  TECHNICAL  ASSISTANCE,10
700,VERIFICATION  QUALITY,10
701,PROVIDE  SUPPORT  DATA,10
702,QUALITY  ASSURANCE,10
703,COLLECTION  ANALYSIS  TASK,10
704,SERVICE  CENTER,10
705,PERIOD  PERIOD  PERFORMANCE,10
706,SUPPORT  EPA  OPTIONS,10
707,ANALYSIS  TASK  MANAGEMENT,10
708,SUPPORT  TASK  PROGRAM,10
709,BRANCH  ORDER,10
710,SUPPORT  DATA  SUPPORT,10
711,MAKING  DATA  ANALYSIS,10
712,MODIFICATIONS  ENHANCEMENTS,10
713,SYSTEM  MANAGEMENT  SYSTEM,10
714,OPERATIONS  MODIFICATIONS  ENHANCEMENTS,10
715,OPERATIONS  MODIFICATIONS,10
716,MONITORING  BRANCH  ORDER,10
717,OPTIONS,10
718,ANALYSIS  TASK,10
719,ASSISTANCE  TECHNICAL  SUPPORT,10
720,OPTIONS  MAKING,10
721,ORDER  MONITORING,10
722,MAKING  DATA,10
723,MONITORING  BRANCH,10
724,MODIFICATIONS  ENHANCEMENTS  DATA,10
725,MODIFICATIONS,10
726,MAKING,10
727,MAINTENANCE  OPERATIONS  MODIFICATIONS,10
728,EPA  OPTIONS  MAKING,10
729,EPA  OPTIONS,10
730,REGION  REGION,10
731,DATA  ANALYSIS  VERIFICATION,10
732,COLLECTION  ANALYSIS  MONITORING,10
733,BRANCH  ORDER  SUPPORT,10
734,MAINTENANCE  OPERATIONS,10
735,OFFICE  SERVICES  AWARD,10
736,SUPPORT  TASK  MONITORING,9
737,SERVICE  CENTER  ENVIRONMENTAL,9
738,NATIONAL  SERVICE  CENTER,9
739,SUPPORT  TASK  DATA,9
740,ORDER  MODIFICATION  OBLIGATE,9
741,NATIONAL  SERVICE,9
742,EPA  NATIONAL  SERVICE,9
743,REGION  1  BUSINESS,9
744,1  BUSINESS,9
745,WORK  ADDITIONAL,9
746,SUPPORT  MODIFICATION  OBLIGATE,9
747,REACHED  WORK,9
748,SUPPORT  DEVELOPMENT  WATER,9
749,REACHED,9
750,RESPONSE  SERVICES  SITE,9
751,TASK  ORDER  ALL,9
752,FUNCTIONS  SUPERFUND,9
753,OPTION  PERIOD  ORDER,9
