Product or Service Code,Product or Service Description,Contracting Agency Name,Contracting Department Name,Funding Agency Name,Principal Place of Performance City Name,Principal Place of Performance State Code,Principal Place of Performance Country Name,Signed Date,Extent Competed,Fair Opportunity/Limited Sources,Type of Contract,Description of Requirement,Vendor Name,PIID,Referenced  IDV PIID,DUNS Number,Action Obligation
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,10/8/2014,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$450,000.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,12/2/2014,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$1,058,084.80 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,12/3/2014,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$395,073.91 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,1/29/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$165,233.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,3/3/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$117,807.97 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,3/20/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$420,765.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,4/9/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$120,000.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,6/18/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$353,078.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,7/7/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$201,892.91 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,8/11/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$267,651.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,9/14/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OTHER FUNCTIONS -TREATMENT, CONTROL AND MONITORING OF REMEDIATION TECHNOLGIES, CONTAMINATED SITES AND FACILITIES, SND ECOSYSTEMS",PEGASUS TECHNICAL SERVICES INC,EPC11006,,946650058,"$26,713.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,9/28/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OFFICE OF RESEARCH AND DEVELOPMENT RISK MANAGEMENT AND ECOLOGICAL EXPOSURE RESEARCH SUPPORT SERVICES

IGF::OT::IGF","PEGASUS TECHNICAL SERVICES, INC.",EPC15010,,946650058,"$1,461,018.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,"OFFICE OF RESEARCH AND DEVELOPMENT RISK MANAGEMENT AND ECOLOGICAL EXPOSURE RESEARCH SUPPORT SERVICES

IGF::OT::IGF","PEGASUS TECHNICAL SERVICES, INC.",EPC15010,,946650058,"$770,781.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,COLUMBUS,OH,UNITED STATES,2/9/2015,,,COST PLUS FIXED FEE,"DEMONSTRATION OF ARSENIC REMOVAL TECHNOLOGY, ROUND 2A",BATTELLE MEMORIAL INSTITUTE,EP0019,EPC05057,7901598,"$45,441.55 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,3/20/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$100,000.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,3/26/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$3,224,943.80 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,8/18/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$1,804,844.57 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,8/25/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$353,058.13 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/2/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$405,500.00 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/27/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$304,755.41 "
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"RESEARCH LABORATORY SUPPORT FOR THE EPA OFFICE OF RESEARCH AND DEVELOPMENT (ORD) AT RESEARCH TRIANGLE PARK (RTP), NORTH CAROLINA

IGF::CL::IGF",JACOBS TECHNOLOGY INC.,EPC15008,,7923014,"$79,699.45 "
AH21,R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,AUBURN HILLS,MI,UNITED STATES,10/2/2014,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"ENGINE AND VEHICLE DEVELOPMENT SERVICES FOR ADVANCED ENGINE AND POWERTRAIN TECHNOLOGY
OTHER FUNCTIONS","FEV, INC.",EPC12014,,180653818,"$317,500.00 "
